publishedAt,title,author,url,urlToImage,description
2018-02-08T17:08:52Z,"""Trump.""",P.M. Carpenter,http://www.pmcarpenter.com/2018/02/trump.html,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b8d2d878eb970c-600wi,"Two nights ago I received a call from the Democratic National Committee, which wanted to know what ""message"" Democratic candidates should hustle this year to regain control of Congress. I found this a trifle unsettling. If party professionals don't know..."
2018-02-28T21:22:06Z,Trump,bluepillsheep,https://www.flickr.com/photos/139044912@N03/39647604415,https://c1.staticflickr.com/5/4712/39647604415_775990588a_b.jpg,Trump's Border Wall Test Makes Liberal Minds Melt bluepillsheep.com/trumps-big-beautiful-border-wall-virtua...
2017-10-12T11:42:08Z,Just Trump being Trump,P.M. Carpenter,http://www.pmcarpenter.com/2017/10/just-trump-being-trump.html,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b7c9295774970b-600wi,"""It all could be Trump being Trump,"" says Nixon biographer John Farrell. ""Or,"" he adds, ""it could be there’s a problem in the White House."" I fail to see the distinction. Any time Trump is being Trump, there's a problem..."
2017-10-16T21:21:00Z,Let Trump Be Trump,Taegan Goddard,https://politicalwire.com/2017/10/16/let-trump-trump/,http://politicalwire.wpengine.com/wp-content/uploads/2016/04/Political_Wire_podcast_logo.png,Coming soon: Let Trump Be Trump: The Inside Story of His Rise to the Presidency by Corey Lewandowski and Dave Bossie. Save to Favorites Twitter Facebook LinkedIn
2017-10-12T11:42:08Z,Just Trump being Trump,P.M. Carpenter,http://www.pmcarpenter.com/2017/10/just-trump-being-trump.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+pmcarpenterscommentary+%28p+m+carpenter%27s+commentary%29,http://pmcarpenter.blogs.com/.a/6a00d83451bc2169e201b7c9295774970b-600wi,"""It all could be Trump being Trump,"" says Nixon biographer John Farrell. ""Or,"" he adds, ""it could be there’s a problem in the White House."" I fail to see the distinction. Any time Trump is being Trump, there's a problem..."
2018-05-05T10:41:56Z,Trump widerspricht Trump,"Von Thorsten Denkler, New York",http://www.sueddeutsche.de/panorama/fall-stormy-daniels-trump-widerspricht-trump-1.3968752,http://media-cdn.sueddeutsche.de/image/sz.1.3968784/940x528?v=1525517121,"Was sein neuer Anwalt gesagt hat, sei nicht richtig, erklärt der US-Präsident - dabei hatte er die Aussagen zuvor via Twitter bestätigt. Ein Überblick über den immer widersprüchlicheren Fall Stormy Daniels."
2018-05-09T14:59:13Z,Khan Can't Trump Trump,Sputnik,https://sputniknews.com/columnists/201805091064296242-sadiq-khan-london-trump/,https://cdn4.img.sputniknews.com/images/104976/37/1049763705.jpg,I love virtue signalling Sadiq Khan. He is just the gift that keeps on giving.
2018-04-28T06:40:17Z,Trump interessiert nur Trump,"Analyse von Thorsten Denkler, New York",http://www.sueddeutsche.de/politik/merkel-und-macron-in-washington-trump-interessiert-nur-trump-1.3960994,http://media-cdn.sueddeutsche.de/image/sz.1.3960995/940x528?v=1524877960,"Die europäische Woche in Washington ist vorbei, die Ergebnisse bescheiden. Weder Merkel noch Macron haben einen Weg gefunden, Trump zu knacken."
2018-04-19T09:54:57Z,Trump Trip Trump,newton,https://www.liveleak.com/view?t=aWv7r_1524131697,https://cdn.liveleak.com/80281E/ll_a_u/2018/Apr/19/LiveLeak-dot-com-5ad868f7054e4_thumb.jpg,"Donnie is tripping, retreating into his own mind... you won't believe what he finds! Won't you join him on his journey? (coulden't resist using a clickbait descriptor) {{embed|t=azTct_1524131678}}"
2017-11-28T10:59:42Z,Jimmy Fallon And Martin Short Give Classic Christmas Song A Scary Trump Twist,Lee Moran,https://www.huffingtonpost.com/entry/jimmy-fallon-martin-short-little-trumper-boys_us_5a1d419ee4b04e8b2a842eb0,http://o.aolcdn.com/images/dims?thumbnail=1200%2C630&image_uri=http%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F1200_630%2F5a1d44b0150000016485a2c7.png%3Fcache%3DacEIECl7St&client=cbc79c14efcebee57402&signature=1f4e372937f7add5d0dcecb6f034f71a5599a775,"""He wants to build a wall, Trump, Trump, Trump, Trump, Trump."""
2017-12-15T05:00:00Z,Can Only Trump Survive Trump?,Rachel Ogden,http://www.nationalreview.com/article/454672/donald-trump-republicans-where-will-gop-be-after-trump,http://c4.nrostatic.com/sites/default/files/uploaded/trump-donald-219_0.jpg,T he past two months of electoral losses for the Trump GOP feel very familiar. Newly elected president Barack Obama’s party lost off-year gubernatorial elections in Virginia and New Jersey and suffered a stunning upset in a Senate race it had no business losi…
2017-12-14T16:22:29Z,‘Can Only Trump Survive Trump?’,Rich Lowry,http://www.nationalreview.com/corner/454651/can-only-trump-survive-trump,,"In my Politico column today, I wrote about Alabama: Ed Gillespie ran away from Trump and lost in Virginia. Roy Moore ran toward Trump (with a lot of excess baggage) and lost in Alabama. One was a wonky establishment Republican careful to sand away any hard ed…"
2018-03-13T16:42:21Z,Trump criticizes Trump,Wahrheitsministerium,https://www.liveleak.com/view?t=91a7s_1520959341,https://cdn.liveleak.com/80281E/ll_a_u/2018/Mar/13/LiveLeak-dot-com-5aa7ff24c53c2_thumb.jpg,"{{file|t=Cfr1o_1520959268}} ""The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He's not leaving and while we disagree on certain subjects, (I call the final shots) we work well together and America is high…"
2018-03-15T01:10:00Z,'Trump Country' rejects Trump,MPX,https://www.msnbc.com/all-in/watch/-trump-country-rejects-trump-1186243651791,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_hayes_atrumpcountryrejects_180314_1920x1080.1200;630;7;70;5.jpg,President Trump promised the GOP would win the Pennsylvania special election because he is so beloved in a district he won by 20 points. That's not how things went.
2018-03-25T04:49:32Z,Letting Trump Be Trump,,https://pjmedia.com/michaelwalsh/letting-trump-trump/,https://static.pjmedia.com/michaelwalsh/user-content/43/files/2018/03/AP_17353367771405.sized-770x415xc.jpg,"If this is ""chaos,"" let us have more of it."
2017-12-16T13:20:10Z,Can Only Trump Survive Trump?,"Rich Lowry, National Review",https://www.realclearpolitics.com/2017/12/16/can_only_trump_survive_trump_429272.html,,"Rich Lowry, National Review Newly elected president Barack Obama’s party lost off-year gubernatorial elections in Virginia and New Jersey and suffered a stunning upset in a Senate race it had no business losing, in Massachusetts. Trump’s party lost off-year g…"
2017-12-15T06:37:10Z,Can Only Trump Survive Trump?,National Review,https://www.freerepublic.com/focus/f-chat/3613794/posts,,The past two months of electoral losses for the Trump GOP feel very familiar. Newly elected president Barack Obamas party lost off-year gubernatorial elections in Virginia and New Jersey and suffered a stunning upset in a Senate race it had no business losin…
2017-12-14T00:53:31Z,Can Only Trump Survive Trump?,(Rich Lowry),https://www.politico.com/magazine/story/2017/12/13/can-only-trump-survive-trump-216102,https://static.politico.com/5e/cb/ab18600d48609d9e4cbb92d1cf52/15-donald-trump-16-gty-1160.jpg,The past two months of electoral losses for the Trump GOP feel very familiar.
2017-12-15T06:37:10Z,Can Only Trump Survive Trump?,National Review,https://www.freerepublic.com/focus/f-news/3613794/posts,,The past two months of electoral losses for the Trump GOP feel very familiar. Newly elected president Barack Obamas party lost off-year gubernatorial elections in Virginia and New Jersey and suffered a stunning upset in a Senate race it had no business losin…
2017-11-22T15:22:15Z,Trump just rage-tweeted about a prominent African American again,(Greg Sargent),https://www.washingtonpost.com/blogs/plum-line/wp/2017/11/22/trump-just-rage-tweeted-about-a-prominent-african-american-again/,https://www.washingtonpost.com/rf/image_1484w/2010-2019/Wires/Online/2017-11-22/AP/Images/Trump_UCLA_Players_Basketball_76911.jpg-d1403.jpg?t=20170517,"Lavar ball, trump, donald trump, impeach donald trump, republican party, trump race baiting, trump attacks kneeling football players, gop"
2017-12-06T22:16:18Z,Trump,Zana Mrsa,https://dribbble.com/shots/4001830-Trump,https://cdn.dribbble.com/users/1439680/screenshots/4001830/trump.png,just some playing with faces
2017-12-20T20:51:52Z,Trump,,https://hrespinosa88.deviantart.com/art/Trump-721069728,https://pre00.deviantart.net/0acc/th/pre/i/2017/354/1/b/trump_by_hrespinosa88-dbxb0yo.jpg,
2017-12-22T16:06:53Z,Trump,,https://samuelmb.deviantart.com/art/Trump-721363113,https://pre00.deviantart.net/526b/th/pre/f/2017/356/0/7/trump_by_samuelmb-dbxhbc9.png,I made this
2017-11-09T22:30:00Z,"Trump, Trump, Trump. How about tackling Illinois' problems?",Kristen McQueary,http://www.chicagotribune.com/news/opinion/commentary/ct-perspec-attorney-general-race-madigan-20171109-story.html,http://www.trbimg.com/img-5a04d7a5/turbine/ct-perspec-attorney-general-race-madigan-20171109,"The joke lately isn’t about who is running for Illinois attorney general in 2018. It’s who isn’t. On the Democratic side, at least eight serious contenders say they’re running. It’s a powerhouse posse of former federal prosecutors, lawmakers, political player…"
2017-11-13T15:57:00Z,Trump,Anne Branigin,http://www.theroot.com/trump-3-duterte-2-dickheads-have-the-weekend-of-their-1820389974,"https://i.kinja-img.com/gawker-media/image/upload/s--JeiBmTAm--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/th6z1viitn4g0idmw48p.jpg","Two of the biggest assholes in the world, Donald Trump and president of the Philippines, Rodrigo Duterte, have expressed mutual admiration for some time. This past weekend, the pair finally got to have the bonding session of their dreams: serenading each othe…"
2017-12-25T22:09:26Z,TRUMP,,https://traac.deviantart.com/art/TRUMP-721929997,https://img00.deviantart.net/2fdf/i/2017/359/9/9/trump_by_traac-dbxtgr1.jpg,
